Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
238.998,-875.045,-558.211,-84280,88480,-174930
248.575,-848.449,-572.363,-87080,89180,-178570
261.934,-803.736,-575.779,-89740,91840,-183330
262.483,-754.021,-563.701,-92190,96880,-189980
240.706,-695.217,-541.009,-92120,104230,-198240
239.73,-591.334,-522.587,-90090,113470,-206990
240.401,-464.759,-512.705,-84630,126000,-218540
181.536,-300.486,-364.292,-72310,140350,-228200
190.747,-211.609,-286.7,-54530,145530,-225330
266.631,-156.221,-243.939,-41650,147140,-217910
336.659,-140.056,-156.465,-29540,144270,-210000
407.053,-190.869,-210.816,-15890,133910,-203000
461.648,-245.769,-278.709,-10780,128450,-202930
450.424,-201.666,-284.077,-9170,130690,-213360
420.473,-148.108,-265.777,-5250,136360,-226100
384.056,-27.145,-236.314,-1470,146020,-239890
342.637,124.623,-183.793,5950,159530,-255920
292.739,251.259,-122.122,20580,173740,-269780
265.411,385.398,-47.702,38080,189070,-284200
235.338,506.483,91.622,55440,202160,-299810
197.945,669.292,247.721,70560,207060,-314440
166.225,872.666,365.939,79730,203280,-322980
166.347,1050.24,562.847,79590,188860,-319690
196.969,1195.42,654.957,64260,156660,-300860
218.075,1322.48,626.836,35980,113610,-268450
285.602,1444.79,560.712,2450,72240,-223160
370.27,1495.6,481.168,-31360,33320,-166880
437.614,1447.96,381.372,-58240,-700,-108500
481.351,1323.21,256.2,-75320,-26530,-55790
511.607,1099.16,165.432,-80570,-41440,-14490
546.682,933.178,117.059,-77350,-47880,10570
601.094,791.841,87.169,-67060,-50120,23940
647.515,698.084,19.947,-48790,-48440,27510
675.575,642.94,-22.448,-25410,-41930,27020
717.299,586.942,-63.562,-1610,-33110,27090
771.345,537.349,-90.219,19950,-23660,27720
817.217,488.488,-80.276,36050,-16240,29470
855.098,430.66,-73.322,43540,-13370,32620
890.661,373.442,-71.675,42840,-14420,35980
920.124,326.35,-68.564,36540,-18200,38080
936.777,297.619,-69.784,27790,-23660,37590
944.402,298.717,-82.228,19390,-29540,34440
947.513,323.178,-93.574,13510,-34440,30380
948.184,342.454,-108.946,10220,-38430,27370
946.354,351.36,-127.673,7840,-41510,25270
947.635,373.442,-154.025,6510,-42840,23450
938.241,379.054,-175.192,5880,-42840,22540
942.999,395.768,-199.897,4620,-41300,22260
941.535,402.112,-209.413,3500,-38360,22610
936.167,395.707,-217.587,2170,-35280,22610
948.916,416.996,-231.556,1260,-31360,22750
932.751,398.879,-219.417,700,-27230,22820
928.298,413.58,-217.77,-700,-23730,20930
919.636,426.695,-205.997,-1820,-20580,19600
914.39,440.908,-194.468,-2240,-18480,18690
912.682,445.666,-189.527,-2030,-17010,18690
913.78,439.444,-186.416,-1260,-15960,19040
920.246,437.004,-180.438,-700,-15400,19530
917.257,422.791,-183.061,-490,-15820,20370
914.329,417.423,-187.453,-840,-16380,20860
909.815,412.482,-186.782,-2030,-17080,21700
901.031,401.929,-190.991,-3640,-18200,22400
889.075,397.293,-196.115,-5460,-19250,22610
880.84,399.855,-201.483,-7140,-19880,22680
873.337,404.674,-201.788,-8050,-19950,22540
859.856,415.715,-201.727,-7490,-19460,22050
851.438,420.839,-197.457,-5740,-18830,22400
849.181,417.667,-189.893,-3290,-18060,22820
843.508,425.536,-186.05,-770,-17640,22680
838.628,426.756,-184.037,2030,-17570,23240
840.885,423.706,-181.536,3920,-17710,24570
839.665,423.035,-180.377,5040,-18340,25970
832.65,420.046,-184.098,5320,-19250,27440
826.184,426.207,-190.564,4900,-20090,29120
815.509,442.86,-198.86,3780,-20440,30940
805.566,446.886,-195.566,3010,-20440,34020
798.307,456.402,-192.882,2100,-20720,37240
790.133,472.689,-186.416,910,-21000,41090
788.913,474.214,-176.9,-70,-22050,46690
798.246,455.487,-171.532,-1680,-24080,53200
808.677,437.187,-166.957,-3920,-26810,59290
814.777,411.75,-161.406,-6720,-30310,65450
823.561,377.59,-157.502,-9870,-34650,70840
830.088,349.286,-156.587,-13300,-39410,74200
822.524,341.295,-167.506,-16170,-43540,75180
807.091,364.17,-177.754,-16940,-45640,75670
798.917,369.66,-180.072,-14700,-45920,78680
803.187,354.593,-174.094,-10500,-45640,83300
811.849,301.34,-206.729,-5460,-45710,87150
813.313,259.128,-199.409,-2030,-44100,89670
823.927,213.195,-203.862,980,-42980,90300
829.112,198.311,-188.978,3640,-42350,88130
812.215,213.622,-185.806,5110,-42420,85120
793.305,251.991,-148.474,5810,-42770,85540
278.404,-908.9,-763.476,7770,2450,4270
306.342,-988.688,-830.393,9380,6510,3780
313.967,-1097.7,-922.32,10780,13510,140
